wgprec,dxprec,dwprec,acttype,convlayers,singleprec,actmethod,wgmethod,dxmethod,dwmethod,train,ISOaccuracy
4,4,4,RELU,20,Single_Precision,4,1,0,0,true,1
4,4,4,NA,0,Single_Precision,4,1,0,0,true,1
4,4,4,NA,0,Single_Precision,4,1,0,0,true,1
4,4,4,RELU,18,Single_Precision,4,1,0,0,true,1
4,4,4,RELU,50,Single_Precision,4,1,0,0,true,1
3,3,3,RELU,20,Single_Precision,4,1,0,0,true,1
3,3,3,NA,0,Single_Precision,4,1,0,0,true,1
3,3,3,NA,0,Single_Precision,4,1,0,0,true,1
3,3,3,RELU,18,Single_Precision,4,1,0,0,true,1
3,3,3,RELU,50,Single_Precision,4,1,0,0,true,1
2,2,2,RELU,20,Single_Precision,4,1,0,0,true,1
2,2,2,NA,0,Single_Precision,4,1,0,0,true,1
2,2,2,NA,0,Single_Precision,4,1,0,0,true,1
2,2,2,RELU,18,Single_Precision,4,1,0,0,true,0
2,2,2,RELU,50,Single_Precision,4,1,0,0,true,0
4,4,4,RELU,20,Single_Precision,1,1,0,0,true,1
4,4,4,NA,0,Single_Precision,1,1,0,0,true,1
4,4,4,NA,0,Single_Precision,1,1,0,0,true,1
4,4,4,RELU,18,Single_Precision,1,1,0,0,true,1
4,4,4,RELU,50,Single_Precision,1,1,0,0,true,0
3,3,3,RELU,20,Single_Precision,1,1,0,0,true,1
3,3,3,NA,0,Single_Precision,1,1,0,0,true,1
3,3,3,NA,0,Single_Precision,1,1,0,0,true,1
3,3,3,RELU,18,Single_Precision,1,1,0,0,true,0
3,3,3,RELU,50,Single_Precision,1,1,0,0,true,0
2,2,2,RELU,20,Single_Precision,1,1,0,0,true,0
2,2,2,NA,0,Single_Precision,1,1,0,0,true,1
2,2,2,NA,0,Single_Precision,1,1,0,0,true,1
2,2,2,RELU,18,Single_Precision,1,1,0,0,true,0
2,2,2,RELU,50,Single_Precision,1,1,0,0,true,0
5,5,5,RELU,20,Single_Precision,1,1,0,0,true,1
5,5,5,NA,0,Single_Precision,1,1,0,0,true,1
5,5,5,NA,0,Single_Precision,1,1,0,0,true,1
5,5,5,RELU,18,Single_Precision,1,1,0,0,true,1
5,5,5,RELU,50,Single_Precision,1,1,0,0,true,0
2,2,2,RELU,20,Single_Precision,4,6,0,0,true,1
2,2,2,RELU,32,Single_Precision,4,6,0,0,true,1
2,2,2,RELU,44,Single_Precision,4,6,0,0,true,1
2,2,2,RELU,56,Single_Precision,4,6,0,0,true,1
2,2,2,NA,0,Single_Precision,4,6,0,0,true,1
2,2,2,RELU,18,Single_Precision,4,6,0,0,true,0
2,2,2,RELU,50,Single_Precision,4,6,0,0,true,1
8,8,8,RELU,18,Single_Precision,3,3,0,0,true,1
8,8,8,RELU,34,Single_Precision,3,3,0,0,true,1
8,8,8,RELU,50,Single_Precision,3,3,0,0,true,1
4,4,4,RELU,18,Single_Precision,3,3,0,0,true,1
4,4,4,RELU,34,Single_Precision,3,3,0,0,true,1
4,4,4,RELU,50,Single_Precision,3,3,0,0,true,1
3,3,3,RELU,18,Single_Precision,3,3,0,0,true,1
3,3,3,RELU,34,Single_Precision,3,3,0,0,true,1
3,3,3,RELU,50,Single_Precision,3,3,0,0,true,1
2,2,2,RELU,18,Single_Precision,3,3,0,0,true,1
2,2,2,RELU,34,Single_Precision,3,3,0,0,true,1
2,2,2,RELU,50,Single_Precision,3,3,0,0,true,1
8,8,8,RELU,18,Single_Precision,2,2,0,0,true,1
8,8,8,RELU,34,Single_Precision,2,2,0,0,true,1
8,8,8,RELU,50,Single_Precision,2,2,0,0,true,1
8,8,8,RELU,152,Single_Precision,2,2,0,0,true,1
8,8,8,NA,0,Single_Precision,2,2,0,0,true,1
8,8,8,NA,0,Single_Precision,2,2,0,0,true,1
8,8,8,NA,0,Single_Precision,2,2,0,0,true,1
4,4,4,RELU,18,Single_Precision,2,2,0,0,true,1
4,4,4,RELU,34,Single_Precision,2,2,0,0,true,1
4,4,4,RELU,50,Single_Precision,2,2,0,0,true,1
4,4,4,RELU,152,Single_Precision,2,2,0,0,true,1
4,4,4,NA,0,Single_Precision,2,2,0,0,true,1
4,4,4,NA,0,Single_Precision,2,2,0,0,true,1
4,4,4,NA,0,Single_Precision,2,2,0,0,true,1
4,4,4,NA,0,Mixed_Precision,4,6,7,0,true,1
4,4,4,NA,0,Mixed_Precision,4,6,7,0,true,1
4,4,4,RELU,18,Mixed_Precision,4,6,7,0,true,1
4,4,4,RELU,50,Mixed_Precision,4,6,7,0,true,1
4,4,4,RELU,101,Mixed_Precision,4,6,7,0,true,1
4,4,4,NA,0,Mixed_Precision,4,6,7,0,true,1
4,4,4,NA,0,Mixed_Precision,4,6,7,0,true,1
4,4,4,NA,0,Mixed_Precision,4,6,7,0,true,1
4,4,4,RELU,18,Mixed_Precision,4,6,7,0,true,1
4,4,4,RELU,50,Mixed_Precision,4,6,7,0,true,1
4,4,4,NA,0,Mixed_Precision,4,6,7,0,true,0
4,4,4,NA,0,Mixed_Precision,4,6,7,0,true,1
4,4,4,NA,0,Mixed_Precision,4,6,7,0,true,1
4,4,4,NA,0,Mixed_Precision,4,6,7,0,true,1
4,4,8,NA,0,Mixed_Precision,4,6,5,0,true,1
4,4,8,NA,0,Mixed_Precision,4,6,5,0,true,1
4,4,8,RELU,18,Mixed_Precision,4,6,5,0,true,1
4,4,8,RELU,50,Mixed_Precision,4,6,5,0,true,1
4,4,8,RELU,101,Mixed_Precision,4,6,5,0,true,1
4,4,8,NA,0,Mixed_Precision,4,6,5,0,true,1
4,4,8,NA,0,Mixed_Precision,4,6,5,0,true,1
4,4,8,NA,0,Mixed_Precision,4,6,5,0,true,1
4,4,8,RELU,18,Mixed_Precision,4,6,5,0,true,1
4,4,8,RELU,50,Mixed_Precision,4,6,5,0,true,1
4,4,8,NA,0,Mixed_Precision,4,6,5,0,true,1
4,4,8,NA,0,Mixed_Precision,4,6,5,0,true,1
4,4,8,NA,0,Mixed_Precision,4,6,5,0,true,1
4,4,8,NA,0,Mixed_Precision,4,6,5,0,true,1
