wgprec,wgmaxqerr,actmaxqerr,maxds,meands,vards,signds,convlayers,actlayers,actmethod,wgmethod,ISOaccuracy
4,0.125,0.125,1.0,0.4733630158487956,0.06328692270751024,0.153233836,18,19,4,1,1
4,0.125,0.125,1.0,0.4514187569455953,0.03971700358504954,0.22502090700000002,7,8,4,1,1
4,0.125,0.125,2.640000104904175,1.0192130323567758,0.3823943430784247,0.015627842,5,7,4,1,1
4,0.125,0.125,2.640000104904175,1.0192130418291365,0.38239431745481056,0.015627842,20,9,4,1,1
4,0.125,0.125,2.640000104904175,1.0192130765611258,0.3823942719158451,0.015627842,53,17,4,1,1
3,0.25,0.25,1.0,0.47336301447550455,0.0632869243382477,0.153233836,18,19,4,1,1
3,0.25,0.25,1.0,0.45141875704974094,0.03971700366459899,0.22502090700000002,7,8,4,1,1
3,0.25,0.25,2.640000104904175,1.0192130891909401,0.3823942082814582,0.015627842,5,7,4,1,1
3,0.25,0.25,2.640000104904175,1.019213111293115,0.3823941348107234,0.015627842,20,9,4,1,1
3,0.25,0.25,2.640000104904175,1.0192130544589508,0.3823943138120425,0.015627842,53,17,4,1,1
2,0.5,0.5,1.0,0.47336301517486573,0.06328692381601655,0.153233836,18,19,4,1,1
2,0.5,0.5,1.0,0.45141875795233616,0.03971700243311971,0.22502090700000002,7,8,4,1,1
2,0.5,0.5,2.640000104904175,1.0192130702462188,0.38239422479669893,0.015627842,5,7,4,1,1
2,0.5,0.5,2.640000104904175,1.0192130955058474,0.38239422698352166,0.015627842,20,9,4,1,0
2,0.5,0.5,2.640000104904175,1.0192131018207544,0.38239418885142107,0.015627842,53,17,4,1,0
4,0.125,0.125,1.0,0.47336301411946613,0.06328692434471145,0.153233836,18,19,1,1,1
4,0.125,0.125,1.0,0.4514187573448201,0.03971700304235962,0.22502090700000002,7,8,1,1,1
4,0.125,0.125,2.640000104904175,1.0192130497227705,0.3823943392536642,0.015627842,5,7,1,1,1
4,0.125,0.125,2.640000104904175,1.0192130955058474,0.3823941196301004,0.015627842,20,9,1,1,1
4,0.125,0.125,2.640000104904175,1.0192131081356617,0.3823941570342273,0.015627842,53,17,1,1,0
3,0.25,0.25,1.0,0.4733630141703288,0.06328692359719734,0.153233836,18,19,1,1,1
3,0.25,0.25,1.0,0.45141875718860175,0.03971700332226019,0.22502090700000002,7,8,1,1,1
3,0.25,0.25,2.640000104904175,1.0192131081356617,0.382394115987331,0.015627842,5,7,1,1,1
3,0.25,0.25,2.640000104904175,1.0192130402504098,0.3823942922558461,0.015627842,20,9,1,1,0
3,0.25,0.25,2.640000104904175,1.0192130986633008,0.3823941700280289,0.015627842,53,17,1,1,0
2,0.5,0.5,1.0,0.4733630148569743,0.06328692387537513,0.153233836,18,19,1,1,0
2,0.5,0.5,1.0,0.4514187562860065,0.03971700424998148,0.22502090700000002,7,8,1,1,1
2,0.5,0.5,2.640000104904175,1.0192131223442027,0.3823941470158858,0.015627842,5,7,1,1,1
2,0.5,0.5,2.640000104904175,1.0192130797185794,0.3823942528497948,0.015627842,20,9,1,1,0
2,0.5,0.5,2.640000104904175,1.0192131018207544,0.3823942298983176,0.015627842,53,17,1,1,0
5,0.0625,0.0625,1.0,0.47336301561991373,0.06328692311493353,0.153233836,18,19,1,1,1
5,0.0625,0.0625,1.0,0.4514187568761649,0.03971700387338273,0.22502090700000002,7,8,1,1,1
5,0.0625,0.0625,2.640000104904175,1.0192130860334865,0.38239420840278737,0.015627842,5,7,1,1,1
5,0.0625,0.0625,2.640000104904175,1.0192130797185794,0.38239426232215545,0.015627842,20,9,1,1,1
5,0.0625,0.0625,2.640000104904175,1.0192131081356617,0.38239422649820587,0.015627842,53,17,1,1,0
2,0.5,0.5,1.0,0.4733630155690511,0.06328692222212787,0.153233836,18,19,4,6,1
2,0.5,0.5,1.0,0.4733630145772298,0.06328692450897064,0.153233836,30,31,4,6,1
2,0.5,0.5,1.0,0.4733630153656006,0.06328692199512306,0.153233836,42,43,4,6,1
2,0.5,0.5,1.0,0.4733630139033,0.0632869231760706,0.153233836,54,55,4,6,1
2,0.5,0.5,2.640000104904175,1.0192131302378367,0.3823940930358525,0.015627842,5,7,4,6,1
2,0.5,0.5,2.640000104904175,1.0192131097143884,0.3823941664459236,0.015627842,20,9,4,6,0
2,0.5,0.5,2.640000104904175,1.0192130481440438,0.3823942382758141,0.015627842,53,17,4,6,1
8,0.0078125,0.0078125,2.640000104904175,1.0192130986633008,0.38239416687057526,0.015627842,20,9,3,3,1
8,0.0078125,0.0078125,2.640000104904175,1.019213082876033,0.38239420220920883,0.015627842,36,17,3,3,1
8,0.0078125,0.0078125,2.640000104904175,1.0192130734036724,0.38239421836046295,0.015627842,53,17,3,3,1
4,0.125,0.125,2.640000104904175,1.0192130734036724,0.3823942373051843,0.015627842,20,9,3,3,1
4,0.125,0.125,2.640000104904175,1.0192130513014974,0.38239420342249586,0.015627842,36,17,3,3,1
4,0.125,0.125,2.640000104904175,1.0192130718249455,0.3823942499956632,0.015627842,53,17,3,3,1
3,0.25,0.25,2.640000104904175,1.019213060773858,0.3823942409479528,0.015627842,20,9,3,3,1
3,0.25,0.25,2.640000104904175,1.0192130923483937,0.3823942144750365,0.015627842,36,17,3,3,1
3,0.25,0.25,2.640000104904175,1.0192130939271205,0.38239418915474355,0.015627842,53,17,3,3,1
2,0.5,0.5,2.640000104904175,1.0192130955058474,0.38239418909407896,0.015627842,20,9,3,3,1
2,0.5,0.5,2.640000104904175,1.0192130939271205,0.3823941354780327,0.015627842,36,17,3,3,1
2,0.5,0.5,2.640000104904175,1.0192130449865902,0.38239426681422484,0.015627842,53,17,3,3,1
8,0.0078125,0.0078125,2.640000104904175,1.0192130765611258,0.3823942529711235,0.015627842,20,9,2,2,1
8,0.0078125,0.0078125,2.640000104904175,1.019213142867651,0.3823940799207215,0.015627842,36,17,2,2,1
8,0.0078125,0.0078125,2.640000104904175,1.0192130860334865,0.38239424629223007,0.015627842,53,17,2,2,1
8,0.0078125,0.0078125,2.640000104904175,1.0192130765611258,0.38239419297950583,0.015627842,155,51,2,2,1
8,0.0078125,0.0078125,2.640000104904175,1.0192131176080224,0.3823941124658903,0.015627842,96,0,2,2,1
8,0.0078125,0.0078125,2.640000104904175,1.0192130670887651,0.38239423754784196,0.015627842,160,160,2,2,1
8,0.0078125,0.0078125,2.640000104904175,1.0192131239229294,0.38239413432540736,0.015627842,13,15,2,2,1
4,0.125,0.125,2.640000104904175,1.0192130513014974,0.3823943170908244,0.015627842,20,9,2,2,1
4,0.125,0.125,2.640000104904175,1.0192131065569348,0.38239412867780986,0.015627842,36,17,2,2,1
4,0.125,0.125,2.640000104904175,1.019213060773858,0.38239426936503507,0.015627842,53,17,2,2,1
4,0.125,0.125,2.640000104904175,1.0192130513014974,0.3823942539417531,0.015627842,155,51,2,2,1
4,0.125,0.125,2.640000104904175,1.0192131002420277,0.38239417943972476,0.015627842,96,0,2,2,1
4,0.125,0.125,2.640000104904175,1.0192131302378367,0.3823941309252952,0.015627842,160,160,2,2,1
4,0.125,0.125,2.640000104904175,1.019213104978208,0.3823941003213922,0.015627842,13,15,2,2,1
